List of unsupported opcodes
Jump to navigationJump to search
This is a list of opcodes GTA III, Vice City, and San Andreas do not support. Unlike the unused opcodes, you can't use these ones at all as it will lead the game to crash or undesirable effects. Only opcodes that do not appear in all three games will have complete rows.

Opcode	Games	P	Parameter type	Command
03B5	Vice City San Andreas			HAS_CATALINA_HELI_BEEN_SHOT_DOWN
03B8	San Andreas			REMOVE_ALL_PLAYER_WEAPONS
03B9	Vice City San Andreas			GRAB_CATALINA_HELI
03BB	San Andreas			SET_ROTATING_GARAGE_DOOR
03BE	Vice City San Andreas			CATALINA_HELI_FLY_AWAY
03C1	San Andreas			STORE_CAR_PLAYER_IS_IN_NO_SAVE
03C2	Vice City San Andreas			IS_PHONE_DISPLAYING_MESSAGE
03C6	Vice City San Andreas			IS_COLLISION_IN_MEMORY
03C9	Vice City San Andreas			IS_CAR_VISIBLY_DAMAGED
03DB	Vice City San Andreas			ADD_BLIP_FOR_PICKUP_OLD
03DD	Vice City San Andreas			ADD_SPRITE_BLIP_FOR_PICKUP
03E0	Vice City			SET_TEXT_DRAW_BEFORE_FADE
03E2	Vice City			REGISTER_EL_BURRO_TIME
03E2	GTA III			SET_CHAR_OBJ_LEAVE_ANY_CAR
03E2	San Andreas			REGISTER_EL_BURRO_TIME, SET_CHAR_OBJ_LEAVE_ANY_CAR
03E8	GTA III Vice City San Andreas	1	int	FLASH_RADAR_BLIP
03E9	Vice City San Andreas			IS_CHAR_IN_CONTROL
03EC	Vice City San Andreas			HAS_MILITARY_CRANE_COLLECTED_ALL_CARS
03F1	San Andreas			SET_THREAT_FOR_PED_TYPE
03F2	San Andreas			CLEAR_THREAT_FOR_PED_TYPE
03F6	GTA III Vice City San Andreas	1	player handle	MAKE_PLAYER_UNSAFE
03F7	Vice City San Andreas			LOAD_COLLISION
03F8	Vice City San Andreas			GET_BODY_CAST_HEALTH
03F9	San Andreas			SET_CHARS_CHATTING
03FA	GTA III Vice City San Andreas	1	player handle	MAKE_PLAYER_SAFE
03FB	Vice City San Andreas			SET_CAR_STAYS_IN_CURRENT_LEVEL
03FC	Vice City San Andreas			SET_CHAR_STAYS_IN_CURRENT_LEVEL
03FD	Vice City San Andreas			REGISTER_4x4_ONE_TIME
03FD	GTA III			SET_DRUNK_INPUT_DELAY
03FE	Vice City San Andreas			REGISTER_4x4_TWO_TIME
03FE	GTA III			SET_CHAR_MONEY
03FF	Vice City San Andreas			REGISTER_4x4_THREE_TIME, INCREASE_CHAR_MONEY
0400	GTA III			GET_OFFSET_FROM_OBJECT_IN_WORLD_COORDS
0400	Vice City San Andreas			REGISTER_4X4_MAYHEM_TIME
0401	San Andreas			REGISTER_LIFE_SAVED
0402	San Andreas			REGISTER_CRIMINAL_CAUGHT
0403	San Andreas			REGISTER_AMBULANCE_LEVEL
0404	San Andreas			REGISTER_FIRE_EXTINGUISHED
0405	San Andreas			TURN_PHONE_ON
0406	Vice City San Andreas			REGISTER_LONGEST_DODO_FLIGHT
0407	GTA III			GET_OFFSET_FROM_CAR_IN_WORLD_COORDS
0407	Vice City San Andreas			REGISTER_TIME_TAKEN_DEFUSE_MISSION
0408	San Andreas			SET_TOTAL_NUMBER_OF_KILL_FRENZIES
040A	Vice City San Andreas			REMOVE_CAR_FROM_CHASE
040E	Vice City San Andreas			SET_FADE_IN_AFTER_NEXT_ARREST
040F	Vice City San Andreas			SET_FADE_IN_AFTER_NEXT_DEATH
0410	Vice City San Andreas			SET_GANG_PED_MODEL_PREFERENCE
0411	San Andreas			SET_CHAR_USE_PEDNODE_SEEK
0412	Vice City San Andreas			SWITCH_VEHICLE_WEAPONS
0413	Vice City San Andreas			SET_GET_OUT_OF_JAIL_FREE
0415	Vice City San Andreas			IS_CAR_DOOR_CLOSED
0419	San Andreas			GET_AMMO_IN_PLAYER_WEAPON
041A	Vice City San Andreas			GET_AMMO_IN_CHAR_WEAPON
041B	Vice City San Andreas			REGISTER_KILL_FRENZY_PASSED
041C	Vice City San Andreas			SET_CHAR_SAY
041F	Vice City San Andreas			OVERRIDE_HOSPITAL_LEVEL
0420	Vice City San Andreas			OVERRIDE_POLICE_STATION_LEVEL
0421	Vice City San Andreas			FORCE_RAIN
0422	Vice City San Andreas			DOES_GARAGE_CONTAIN_CAR
0426	Vice City San Andreas			MARK_ROADS_BETWEEN_LEVELS
0427	Vice City San Andreas			MARK_PED_ROADS_BETWEEN_LEVELS
0429	Vice City San Andreas			SET_CHAR_AVOID_LEVEL_TRANSITIONS
042A	Vice City San Andreas			IS_THREAT_FOR_PED_TYPE
0430	GTA III Vice City			WARP_CHAR_INTO_CAR_AS_PASSENGER
0432	Vice City			GET_CHAR_IN_CAR_PASSENGER_SEAT
0437	San Andreas			CREATE_SINGLE_PARTICLE
0438	Vice City San Andreas			SET_CHAR_IGNORE_LEVEL_TRANSITIONS
0439	Vice City San Andreas			GET_CHASE_CAR
043A	Vice City San Andreas			START_BOAT_FOAM_ANIMATION
043B	Vice City San Andreas			UPDATE_BOAT_FOAM_ANIMATION
043D	Vice City San Andreas			SET_INTRO_IS_PLAYING
0442	San Andreas			IS_PLAYER_SITTING_IN_CAR
0443	San Andreas			IS_PLAYER_SITTING_IN_ANY_CAR
0444	Vice City San Andreas			SET_SCRIPT_FIRE_AUDIO
0447	Vice City San Andreas			IS_PLAYER_LIFTING_A_PHONE
044A	San Andreas			IS_PLAYER_ON_FOOT
044C	Vice City San Andreas			LOAD_COLLISION_WITH_SCREEN
044E	Vice City San Andreas			SET_CAR_IGNORE_LEVEL_TRANSITIONS
044F	Vice City San Andreas			MAKE_CRAIGS_CAR_A_BIT_STRONGER
0452	Vice City San Andreas			ENABLE_PLAYER_CONTROL_CAMERA
0455	Vice City San Andreas			GET_DEBUG_CAMERA_FRONT_VECTOR
0456	Vice City San Andreas			IS_PLAYER_TARGETTING_ANY_CHAR
0458	Vice City			IS_PLAYER_TARGETTING_OBJECT
045E	Vice City San Andreas			PLACE_OBJECT_RELATIVE_TO_OBJECT
045F	San Andreas			SET_ALL_OCCUPANTS_OF_CAR_LEAVE_CAR
0461	Vice City San Andreas			GET_CLOSEST_CAR_NODE_WITH_HEADING_TOWARDS_POINT
0462	Vice City San Andreas			GET_CLOSEST_CAR_NODE_WITH_HEADING_AWAY_POINT
046A	Vice City San Andreas			GET_RANDOM_COP_IN_ZONE
046B	San Andreas			SET_CHAR_OBJ_FLEE_CAR
046F	San Andreas			GET_CURRENT_PLAYER_WEAPON
0478	Vice City San Andreas			SET_CAR_HANDBRAKE_TURN_RIGHT
0479	Vice City San Andreas			SET_CAR_HANDBRAKE_STOP
047B	Vice City San Andreas			LOCATE_SNIPER_BULLET_2D
047C	Vice City San Andreas			LOCATE_SNIPER_BULLET_3D
047D	Vice City San Andreas			GET_NUMBER_OF_SEATS_IN_MODEL
047E	San Andreas			IS_PLAYER_ON_ANY_BIKE
047F	Vice City San Andreas			IS_CHAR_LYING_DOWN
San Andreas
003D	0156	022E	032F	0408	0511
003E	0157	022F	0333	040A	0516
003F	015C	0230	0334	040E	051F
0040	015E	0232	0336	040F	0520
0041	0163	0233	033A	0410	0527
0047	0170	0234	033B	0411	0528
0048	0171	0238	033C	0412	0529
0049	0178	0239	033D	0413	052A
004A	017A	023A	0346	0415	052B
004B	017C	023E	0347	0419	052D
004C	017D	023F	034A	041B	052E
0054	017E	0240	034B	041C	052F
0055	017F	0242	034C	041F	0530
0056	0182	0243	0351	0420	0531
0057	0183	0246	0352	0421	0532
009C	0192	024A	0353	0422	0533
009D	0193	024B	0354	0426	0534
009E	0194	024C	0355	0427	0535
009F	0195	024D	0357	0429	0536
00A2	0196	024E	0358	042A	0537
00AC	0197	0251	0359	0437	0538
00B2	0198	0252	035A	0438	0539
00B3	0199	0255	035B	0439	053A
00B4	019A	0295	035E	043A	053B
00B5	019B	029A	0365	043B	053C
00B6	019C	029C	0367	043D	053D
00B7	019D	029D	0368	0442	0542
00B8	019E	029E	0369	0443	0543
00B9	019F	029F	036B	0444	0544
00BD	01A0	02A1	036C	0447	0546
00DA	01B1	02A2	036E	044A	0549
00DC	01B3	02A6	036F	044E	0553
00DE	01B8	02AD	0370	044F	0554
00E0	01BA	02AE	0371	0452	0558
00E3	01BE	02AF	0372	0455	0559
00E4	01BF	02B0	0374	0456	055A
00E5	01C6	02B1	0375	045E	055C
00E6	01C9	02B2	0377	045F	0562
00E7	01CA	02B3	0378	0461	0567
00E8	01CB	02B4	0379	0462	056B
00E9	01CC	02B5	037A	046A	056F
00EA	01CD	02B6	037B	046B	0571
00EB	01CE	02B7	037C	046F	0573
00F5	01CF	02B8	037D	0478	057C
00F6	01D0	02C3	037F	0479	0580
00F7	01D1	02C4	0380	047B	0584
00F8	01D2	02C5	0385	047C	0586
00F9	01D3	02C6	0386	047D	0589
00FA	01D4	02C7	0387	047E	058B
00FB	01D5	02C8	0388	047F	058F
00FC	01D6	02C9	0389	0483	0590
00FD	01D7	02CD	0398	0486	0593
0113	01D8	02D2	0399	0487	0598
0115	01D9	02D5	039A	048D	0599
0116	01DA	02D7	039B	048E	05AB
011A	01DB	02D9	039D	0490	05AC
011B	01DC	02DA	03A0	0492	05AF
011C	01DD	02DC	03A5	0497	05B4
011D	01DE	02DE	03A6	0498	0644
011E	01DF	02DF	03AC	0499	0645
011F	01E0	02EF	03AE	049A	0649
0120	01E1	02F0	03B2	049B	0658
0121	01E2	02F1	03B3	049D	0690
0123	01E6	02F4	03B4	04A0	0691
0124	01ED	02F5	03B5	04A8	0692
0125	01EE	02FB	03B8	04AA	0693
0126	01EF	02FC	03B9	04AC	0694
0127	01F1	02FE	03BB	04C2	0695
0128	01F2	0300	03BE	04C3	0696
0138	01F8	0301	03C1	04C6	06B8
0139	01FC	0304	03C2	04C9	06CC
013A	01FD	0305	03C6	04CA	06CD
013B	01FE	0306	03DB	04CB	06D3
013C	01FF	0307	03DD	04CC	06D4
013D	0200	0309	03E2	04CD	0753
013E	0201	030A	03E9	04CF	0756
013F	020E	030B	03EC	04D4	0757
0140	020F	030E	03F1	04DC	0768
0141	0210	030F	03F2	04DE	0769
0142	0211	0310	03F6	04E8	07B9
0143	0212	0311	03F7	04EC	07D8
0144	0218	0312	03F8	04F2	07D9
0145	0219	0313	03F9	04F3	0802
0146	021A	0314	03FA	04F6	082B
0147	021D	0315	03FB	04FB	082C
0148	021E	0316	03FC	04FD	082D
0149	021F	031B	03FF	04FF	082E
014A	0220	031C	0401	0502	082F
014D	0222	0322	0402	0504	0854
0150	0225	0324	0403	0505	0865
0152	0228	0328	0404	050C	09CD
0153	022C	032D	0405	050D	09CE
0155	022D	032E	0406	0510	09DF
Category: OpCodes

